qid,label,latitude,longitude,precision_deg,osm_ref,inside_footprint,offset_km,centroid_km,retrieved_utc
Q13205,Stade de France,48.924444444444,2.36,0.00027777777777778,way/64003104 via nominatim:?,1,0.0,0.01,2026-09-22T19:11Z
Q127429,Allianz Arena,48.218775,11.624752777778,0.00027777777777778,relation/18413487 via nominatim:stadium,1,0.0,0.004,2026-09-22T19:11Z
Q128468,Wembley Stadium,51.555555555556,-0.27944444444444,0.00027777777777778,relation/12942436 via nominatim:?,1,0.0,0.055,2026-09-22T19:11Z
Q155174,Maracanã Stadium,-22.912222222222,-43.230277777778,0.00027777777777778,relation/4587734 via wikidata:stadium,1,0.0,0.012,2026-09-22T19:11Z
Q157273,Waldstadion,50.068611,8.645278,1e-05,way/5117941 via nominatim:?,1,0.0,0.01,2026-09-22T19:11Z
Q164027,Bernabéu,40.45306,-3.68835,0.00027777777777778,way/1507411898 via nominatim:?,1,0.0,0.005,2026-09-22T19:11Z
Q200684,Dignity Health Sports Park,33.864444444444,-118.26111111111,0.00027777777777778,,,,,2026-09-22T19:12Z
Q209725,Twickenham Stadium,51.456111111111,-0.34166666666667,0.00027777777777778,relation/1949061 via wikidata (one-way):stadium,1,0.0,0.011,2026-09-22T19:12Z
Q320454,Estadio Azteca,19.303055555556,-99.150555555556,0.00027777777777778,way/4758704 via wikidata:stadium,1,0.0,0.016,2026-09-22T19:11Z
Q330136,Melbourne Cricket Ground,-37.819943,144.983447,0.0001,way/210337258 via wikidata:stadium,1,0.0,0.012,2026-09-22T19:11Z
Q373355,Gillette Stadium,42.090944444444,-71.264344444444,0.00027777777777778,relation/18511570 via wikidata:stadium,1,0.0,0.006,2026-09-22T19:11Z
Q544553,Arrowhead Stadium,39.048888888889,-94.483888888889,0.00027777777777778,way/65960012 via wikidata:stadium,1,0.0,0.012,2026-09-22T19:11Z
Q583085,Northwest Stadium,38.907777777778,-76.864444444444,0.00027777777777778,way/24617361 via wikidata:stadium,1,0.0,0.015,2026-09-22T19:11Z
Q612736,Lumen Field,47.595277777778,-122.33166666667,0.00027777777777778,relation/5838734 via wikidata:stadium,1,0.0,0.003,2026-09-22T19:11Z
Q635117,EverBank Field,30.323889,-81.6375,0.0001,way/27258894 via wikidata:stadium,1,0.0,0.018,2026-09-22T19:11Z
Q756433,State Farm Stadium,33.5275,-112.2625,0.0001,relation/7370103 via wikidata:stadium,1,0.0,0.037,2026-09-22T19:11Z
Q756452,Caesars Superdome,29.950833333333,-90.081111111111,0.00027777777777778,relation/4598860 via wikidata:stadium,1,0.0,0.024,2026-09-22T19:11Z
Q806673,Bank of America Stadium,35.225833333333,-80.852777777778,0.00027777777777778,way/180768146 via wikidata:stadium,1,0.0,0.007,2026-09-22T19:11Z
Q838284,AT&T Stadium,32.74769,-97.09288,-1e-06,way/47086748 via wikidata:stadium,1,0.0,0.017,2026-09-22T19:11Z
Q849784,Los Angeles Memorial Coliseum,34.014167,-118.287778,1e-05,way/443675312 via wikidata:stadium,1,0.0,0.019,2026-09-22T19:11Z
Q860790,Lambeau Field,44.501388888889,-88.062222222222,0.00027777777777778,way/24772913 via wikidata:stadium,1,0.0,0.061,2026-09-22T19:11Z
Q864339,Hard Rock Stadium,25.958055555556,-80.238888888889,0.00027777777777778,relation/2278785 via wikidata (one-way):stadium,1,0.0,0.016,2026-09-22T19:12Z
Q867160,Lucas Oil Stadium,39.760056,-86.163806,0.0001,way/989245934 via wikidata:stadium,1,0.0,0.108,2026-09-22T19:11Z
Q956072,San Diego Stadium,32.783055555556,-117.11944444444,0.00027777777777778,,,,,2026-09-22T19:12Z
Q1046135,Empower Field at Mile High,39.743888888889,-105.02,0.00027777777777778,relation/4423254 via wikidata:stadium,1,0.0,0.011,2026-09-22T19:11Z
Q1052370,Lincoln Financial Field,39.90089,-75.16776,-1e-06,way/32891768 via wikidata:stadium,1,0.0,0.023,2026-09-22T19:11Z
Q1058864,Reliant Stadium,29.684722222222,-95.410833333333,0.00027777777777778,way/119422708 via wikidata:stadium,1,0.0,0.015,2026-09-22T19:11Z
Q1058931,Georgia Dome,33.7575,-84.400833333333,0.00027777777777778,,,,,2026-09-22T19:12Z
Q1067148,Acrisure Stadium,40.446666666667,-80.015833333333,0.00027777777777778,way/24722790 via wikidata:stadium,1,0.0,0.02,2026-09-22T19:11Z
Q1100756,Huntington Bank Field,41.506111111111,-81.699444444444,0.00027777777777778,way/41020147 via nominatim:?,1,0.0,0.016,2026-09-22T19:11Z
Q1132413,Soldier Field,41.8625,-87.616666666667,0.00027777777777778,way/24587933 via nominatim:?,1,0.0,0.012,2026-09-22T19:11Z
Q1141336,M&T Bank Stadium,39.278055555556,-76.622777777778,0.00027777777777778,relation/2304778 via wikidata (one-way):stadium,1,0.0,0.012,2026-09-22T19:12Z
Q1141343,Raymond James Stadium,27.975833333333,-82.503333333333,0.00027777777777778,relation/2305835 via wikidata (one-way):stadium,1,0.0,0.015,2026-09-22T19:12Z
Q1142586,Ford Field,42.34,-83.045555555556,0.00027777777777778,way/110555613 via wikidata:stadium,1,0.0,0.009,2026-09-22T19:11Z
Q1142992,Nissan Stadium,36.166388888889,-86.771388888889,0.00027777777777778,way/58759639 via wikidata:stadium,1,0.0,0.015,2026-09-22T19:11Z
Q1147732,Oakland Coliseum,37.751666666667,-122.20055555556,0.00027777777777778,way/23426664 via wikidata:stadium,1,0.0,0.006,2026-09-22T19:11Z
Q1362236,Neo Química Arena,-23.545555555556,-46.474,2.7777777777778e-05,way/218678632 via nominatim:?,1,0.0,0.045,2026-09-22T19:11Z
Q1475645,Ralph Wilson Stadium,42.773611111111,-78.786944444444,0.00027777777777778,,,,,2026-09-22T19:12Z
Q1632294,Paycor Stadium,39.095444444444,-84.516038888889,0.00027777777777778,way/210540615 via wikidata:stadium,1,0.0,0.005,2026-09-22T19:11Z
Q7007552,Mercedes-Benz Stadium,33.755277777778,-84.400833333333,0.000277778,way/536744534 via wikidata (one-way):stadium,1,0.0,0.015,2026-09-22T19:12Z
Q7419343,Levi's Stadium,37.4034,-121.97,0.0001,way/296503400 via nominatim:?,1,0.0,0.042,2026-09-22T19:11Z
Q7929512,U.S. Bank Stadium,44.973889,-93.258056,0.0001,way/743461508 via wikidata:stadium,1,0.0,0.059,2026-09-22T19:11Z
Q10862290,MetLife Stadium,40.813611111111,-74.074444444444,0.00027777777777778,way/24221553 via wikidata:stadium,1,0.0,0.013,2026-09-22T19:11Z
Q16251517,Highmark Stadium,42.772972222222,-78.792194444444,2.7777777777778e-05,way/1339149058 via wikidata:stadium,1,0.0,0.008,2026-09-22T19:11Z
Q19520501,SoFi Stadium,33.9504,-118.338,0.010829320892736,way/860635712 via wikidata:stadium,0,0.195,0.346,2026-09-22T19:11Z
Q27768421,Allegiant Stadium,36.090777777778,-115.183,2.7777777777778e-05,way/691478555 via wikidata:stadium,1,0.0,0.03,2026-09-22T19:11Z
Q55074091,Tottenham Hotspur Stadium,51.604444444444,-0.066388888888889,0.00027777777777778,way/538300255 via nominatim:?,1,0.0,0.032,2026-09-22T19:11Z
